OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
812084232;FOSEN DYREKLINIKK AS;7;75.000;AS;;False
819348502;Fosen Trapp & Interiør AS;8;16.232;AS;;False
823251602;FOSSHEIM TURISTHOTELL AS;37;55.101;AS;;False
813452642;FOTOGRAF MATS JENSAAS AS;4;74.200;AS;;False
820572882;FRAKKE FOLK AS;0;79.903;AS;;False
818441622;FRAM X AS;2;62.020;AS;;False
812376152;FREDLUND TØMRERFIRMA;0;41.200;ENK;;False
812236342;Frekhaug Byggsenter AS;24;47.521;AS;;False
812579622;Fridahl Eiendom AS;1;68.209;AS;;False
819415072;FRK. BREKKE AS;0;47.510;AS;;True
819757712;FRODE SMINES AS;3;43.120;AS;;False
813397552;Fruktgården AS;31;01.240;AS;;False
822773532;FURULUND MASKIN ENTREPRENØR AS;1;43.120;AS;;False
813587912;Fusa Lyd & Lys AS;6;90.020;AS;;False
822917372;FUZZY MOLDE AS;10;56.101;AS;;False
819706662;FØLL AS;1;41.200;AS;;False
814138712;G&A Air AS;0;51.100;AS;;False
820947592;G1S INVEST AS;0;00.000;AS;;False
820379942;G3 UTVIKLING AS;0;41.109;AS;;False
814500632;GAMLE FREDRIKSTAD HÅNDBALLKLUBB;0;93.120;FLI;;False
819657742;GDK PRO AS;2;43.320;AS;;False
818746032;Geiranger Camping AS;3;55.300;AS;;False
820430662;GEO GRUPPEN AS;0;68.209;AS;;False
821777062;GETACCEPT AS;2;58.290;AS;;False
819360502;GLASSCON AS;6;47.529;AS;;False
817356052;GLASSMESTER BODØ AS;2;43.342;AS;;False
815412982;Glassproffen AS;7;43.342;AS;;False
812570552;GLIMT MEDIA AS;1;58.140;AS;;False
817864872;GLOBAL RENTALS AS;12;46.630;AS;;False
816655552;GLOEN KB INVEST AS;0;68.100;AS;;False
818601212;GO2LOFOTEN AS;5;79.903;AS;;False
814424812;GODBITEN SZABELSKA;0;81.210;ENK;;False
821734452;GOFORIT AS;12;47.721;AS;;False
814266532;GOKSØYR & MARTENS;3;90.012;STI;;False
813308312;GORSETGRENDA VEILAG OG HYTTEFORENING SA;0;68.320;SA;;False
821635462;GP SYSTEMS AS;4;41.200;AS;;False
821668832;GRANVOLL EIENDOM AS;0;41.109;AS;;False
818187432;GRATANGEN RØDE KORS;0;94.991;FLI;;False
821430062;GRAVALID HOLDING AS;0;68.209;AS;;False
821036372;GREENROOM SOLVOR WIIG;0;31.090;ENK;;False
818004842;GROSSISTEN AS;2;93.190;AS;;False
821675022;GRØNLIA AS;0;41.109;AS;;False
821126932;Gsj Invest AS;1;86.211;AS;;False
822221742;GULLE EIENDOM AS;0;68.209;AS;;False
814869342;GULVSYSTEM NORD-NORGE AS;0;43.330;AS;;False
816315492;GUTTORMSEN AS;20;49.410;AS;;False
823244002;H. HOLMEBAKKEN AS;2;43.990;AS;;False
821962412;H.H. EIENDOM AS;0;68.209;AS;;False
816298512;H5 NORGE AS;2;62.010;AS;;False
820759362;Haldorgården AS;0;41.109;AS;;False
819855072;HALL MONTASJE AS;6;41.200;AS;;False
812865412;HALLANGSPOLLEN VA-DRIFT SA;0;36.000;SA;;False
823617232;HALLERUD CONSULTING AS;2;70.220;AS;;False
815488482;HALLINGSKARVET EIENDOM AS;0;68.209;AS;;False
811867152;HANS-HENRIK FURULUND EIENDOM AS;0;68.209;AS;;False
822363792;Hansnes Fisk AS;0;03.111;AS;;False
817927262;HARK TECHNOLOGIES AS;12;46.431;AS;;False
822965962;HATCH ACCELERATOR FUND AS;0;00.000;AS;;False
818491352;Haugbukta Fysikalske ANS;0;86.902;ANS;;False
814125432;HAUGESTAD AS;0;00.000;AS;;False
815672852;HAV ENERGY HOLDING AS;0;09.109;AS;;False
818865082;HAVBRUKSPARTNER AS;3;03.213;AS;;False
815671392;HDR AS;0;68.209;AS;;False
821788862;HEADLOCK INVEST AS;0;00.000;AS;;False
818097832;HEI31 AS;0;41.109;AS;;False
816791642;Heilt På Jordet Anders Kvalø Pettersen;0;68.209;ENK;;False
